name,country,latitude,longitude
Villach Hbf,AT,46.618624,13.848538
Salzburg Hbf,AT,47.813046,13.045819
Wolfsberg in Ktn Bahnhof,AT,46.842629,14.838417
Bruxelles-Midi,BE,50.835374,4.335695
Antwerpen-Centraal,BE,51.215527,4.421005
Charleroi-Ouest,BE,50.411461,4.437012
Frauenfeld Bahnhof,CH,47.557997,8.896767
Balsthal,CH,47.313239,7.694316
Bellinzona,CH,46.19543,9.029529
Praha hl.n.,CZ,50.083058,14.436037
Ostrava-Vítkovice,CZ,49.801803,18.262898
Ústí nad Labem hl.n.,CZ,50.659563,14.044728
Magdeburg Hbf,DE,52.130351,11.62689
Freudenstadt Hbf,DE,48.460325,8.428807
Bremen Hbf,DE,53.083477,8.813833
Odense St.,DK,55.401777,10.386001
Herning St.,DK,56.132394,8.979234
Nykøbing Falster St.,DK,54.766833,11.87777
Barcelona El Prat T1,ES,41.288329,2.072904
San Fernando de Cádiz,ES,36.4758,-6.19444
Lorca-San Diego,ES,37.680704,-1.684875
Nomain,FR,50.502374,3.20635
St-Sever Calvados,FR,48.843608,-1.051698
Langres,FR,47.876947,5.344406
Pembroke Station,GB,51.673546,-4.905563
Newhaven Town,GB,50.794888,0.054627
Falkirk High,GB,55.991863,-3.792276
Pula Airport,HR,44.899504,13.923368
Rovinj Autobusni Kolodvor,HR,45.080685,13.638815
Biograd na Moru Autobusni Kolodvor,HR,43.937696,15.444132
Budapest-Keleti,HU,47.500385,19.085069
Dublin Connolly,IE,53.351792,-6.249522
Catanzaro (Germaneto),IT,38.896126,16.599354
Imperia,IT,43.896875,8.03134
Nardò Città,IT,40.181516,18.040678
Luxembourg,LU,49.599717,6.134391
Rodange,LU,49.551283,5.845028
Luxembourg Gare Centrale (Quai 13),LU,49.599138,6.133244
Amsterdam-Centraal,NL,52.37919,4.899426
Den Haag Centraal,NL,52.080506,4.323991
Leiden Lammenschans,NL,52.146693,4.492736
Łódź Kaliska,PL,51.757416,19.430884
Warszawa-Centralna,PL,52.228864,21.003233
Lisboa Santa Apolónia,PT,38.71387,-9.122271
Porto Campanhã,PT,41.148823,-8.584932
Porto Sao Bento,PT,41.145564,-8.610321
Moskva Kievskaia,RU,55.742963,37.566774
Vetlanda station,SE,57.425887,15.082182
Nybro Station,SE,56.742357,15.908875
Ekenässjön station,SE,57.48927,15.019608
Bratislava hl.st.,SK,48.158908,17.106463
